City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,koryazhma,61.3143,47.1691,4.48,90,100,2.26,RU,1713365647
160,thinadhoo,0.5333,72.9333,27.94,80,100,1.75,MV,1713365648
161,hirara,24.8,125.2833,26.92,94,75,4.63,JP,1713365648
162,puerto armuelles,8.2833,-82.8667,28.99,57,100,0.45,PA,1713365649
163,tazacorte,28.629,-17.9293,23.54,69,0,2.06,ES,1713365650
164,chunskiy,56.0815,99.6342,0.93,63,4,1.9,RU,1713365429
165,kodiak,57.79,-152.4072,2.73,93,100,12.86,US,1713365651
166,ola,59.5833,151.2833,-7.7,88,58,3.33,RU,1713365652
167,tazovsky,67.4667,78.7,-0.37,99,100,6.31,RU,1713365653
168,tura,25.5198,90.2201,27.61,24,0,2.41,IN,1713365653
169,general acha,-37.377,-64.6043,18.3,43,4,6.01,AR,1713365654
170,enewetak,11.3474,162.3373,27.28,80,95,7.52,MH,1713365655
171,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,94,40,1.03,ID,1713365655
172,ribeira brava,32.65,-17.0667,24.28,71,100,0.68,PT,1713365656
173,yoko,5.5333,12.3167,30.45,45,90,1.59,CM,1713365657
174,varberg,57.1056,12.2508,9.93,63,75,5.05,SE,1713365658
175,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,94,100,2.0,RU,1713365658
176,xining,36.6167,101.7667,15.33,36,87,3.74,CN,1713365659
177,egilsstadir,65.2653,-14.3948,3.95,70,75,3.09,IS,1713365660
178,hamilton,39.1834,-84.5333,21.11,84,20,8.23,US,1713365547
179,gilgit,35.9221,74.3087,12.7,46,100,1.36,PK,1713365661
180,newman,37.3138,-121.0208,17.32,73,100,1.04,US,1713365580
181,lazaro cardenas,17.9583,-102.2,27.93,42,78,0.75,MX,1713365611
182,gamba,-2.65,10.0,28.62,72,99,3.6,GA,1713365664
183,stanley,54.868,-1.6985,8.76,65,40,8.75,GB,1713365470
184,zeya,53.75,127.2667,5.82,73,85,2.3,RU,1713365665
185,mount isa,-20.7333,139.5,22.87,83,100,0.0,AU,1713365666
186,antsiranana,-12.2787,49.2917,29.42,70,20,9.26,MG,1713365668
187,la gi,10.6667,107.7833,27.49,78,100,2.62,VN,1713365669
188,mabaruma,8.2,-59.7833,34.29,44,98,4.01,GY,1713365670
189,antofagasta,-23.65,-70.4,20.6,69,3,2.03,CL,1713365515
190,sandnessjoen,66.0217,12.6316,6.29,75,75,2.57,NO,1713365671
191,kukuna,9.4,-12.6667,41.56,20,26,1.84,SL,1713365672
192,al khawr,25.7667,51.3167,28.22,32,0,2.4,QA,1713365673
193,taulaga,-11.0553,-171.0883,29.15,70,2,2.17,AS,1713365673
194,okeho,8.0333,3.35,36.05,29,100,2.07,NG,1713365674
195,idabel,33.8957,-94.8263,23.26,96,75,2.57,US,1713365675
196,gangneung,37.7556,128.8961,13.31,64,99,1.61,KR,1713365675
197,malvan,16.0667,73.4667,28.68,85,100,3.02,IN,1713365676
198,alofi,-19.0595,-169.9187,23.94,88,60,2.57,NU,1713365677
199,popondetta,-8.7537,148.2534,23.2,99,100,0.26,PG,1713365678
200,krasnogorskiy,54.6025,61.231,12.03,64,90,3.71,RU,1713365678
201,gering,41.8258,-103.6605,11.49,62,75,2.68,US,1713365679
202,kudahuvadhoo,2.6708,72.8944,29.4,72,56,4.0,MV,1713365680
203,manaus,-3.1019,-60.025,27.27,83,75,1.54,BR,1713365618
204,tandil,-37.3217,-59.1332,16.49,57,0,8.64,AR,1713365647
205,luganville,-15.5333,167.1667,26.64,88,61,5.79,VU,1713365683
206,lluta,-16.0147,-72.0142,16.21,31,36,3.46,PE,1713365684
207,aasiaat,68.7098,-52.8699,-9.5,76,4,3.3,GL,1713365684
208,anna regina,7.2644,-58.5077,30.05,66,77,4.18,GY,1713365685
209,kyren,51.6828,102.1408,1.08,84,44,1.34,RU,1713365686
210,teguise,29.0605,-13.564,21.12,73,0,3.09,ES,1713365686
211,roussillon,45.373,4.8073,10.85,60,70,5.78,FR,1713365687
212,levuka,50.1834,-105.4011,1.93,76,100,10.8,CA,1713365688
213,wingham,43.8879,-81.3114,8.48,84,100,10.47,CA,1713365401
214,tukums,56.9669,23.1553,5.64,67,74,3.82,LV,1713365689
215,auki,-8.7676,160.7034,25.31,91,75,1.71,SB,1713365690
216,kambove,-10.8764,26.5969,20.92,83,90,2.64,CD,1713365691
217,salinopolis,-0.6136,-47.3561,30.35,69,70,4.15,BR,1713365691
218,shingu,33.7333,135.9833,15.71,94,97,2.05,JP,1713365692
219,byalynichy,53.9983,29.7126,7.85,65,100,3.43,BY,1713365693
220,kapa'a,22.0752,-159.319,22.99,90,100,2.06,US,1713365693
221,kelso,46.1468,-122.9084,6.16,92,0,0.45,US,1713365694
222,bubaque,11.2833,-15.8333,26.54,67,0,5.17,GW,1713365695
223,robore,-18.3333,-59.75,20.05,100,100,0.0,BO,1713365695
224,olinda,-8.0089,-34.8553,30.85,74,40,6.17,BR,1713365696
225,shimoda,34.6667,138.95,16.52,79,100,5.44,JP,1713365697
226,puerto real,36.5282,-6.1901,26.45,83,75,4.12,ES,1713365698
227,maine soroa,13.2114,12.0241,42.5,5,100,3.62,NE,1713365698
228,thal,35.4791,72.2439,5.38,76,100,2.77,PK,1713365665
229,palmerston north,-40.35,175.6167,13.76,86,58,2.55,NZ,1713365700
230,constantia,44.1833,28.65,24.38,48,86,10.41,RO,1713365645
